timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538392037733,30,HTTP请求,200,OK,线程组 1-2,text,true,,179,118,3,3,http://127.0.0.1:8080/,29,0,2
1538392037721,45,HTTP请求,200,OK,线程组 1-1,text,true,,179,118,2,2,http://127.0.0.1:8080/,45,0,1
1538392037757,26,HTTP请求,200,OK,线程组 1-3,text,true,,179,118,3,3,http://127.0.0.1:8080/,25,0,5
1538392037775,31,HTTP请求,200,OK,线程组 1-4,text,true,,179,118,2,2,http://127.0.0.1:8080/,23,0,1
1538392037797,45,HTTP请求,200,OK,线程组 1-5,text,true,,179,118,4,4,http://127.0.0.1:8080/,45,0,1
1538392037809,45,HTTP请求,200,OK,线程组 1-6,text,true,,179,118,3,3,http://127.0.0.1:8080/,45,0,4
1538392037826,35,HTTP请求,200,OK,线程组 1-7,text,true,,179,118,3,3,http://127.0.0.1:8080/,35,0,2
1538392037859,44,HTTP请求,200,OK,线程组 1-9,text,true,,179,118,3,3,http://127.0.0.1:8080/,44,0,2
1538392037843,70,HTTP请求,200,OK,线程组 1-8,text,true,,179,118,3,3,http://127.0.0.1:8080/,70,0,12
1538392037897,18,HTTP请求,200,OK,线程组 1-10,text,true,,179,118,2,2,http://127.0.0.1:8080/,18,0,1
1538392037907,13,HTTP请求,200,OK,线程组 1-11,text,true,,179,118,1,1,http://127.0.0.1:8080/,13,0,1
1538392037926,14,HTTP请求,200,OK,线程组 1-12,text,true,,179,118,1,1,http://127.0.0.1:8080/,14,0,1
1538392037944,12,HTTP请求,200,OK,线程组 1-13,text,true,,179,118,1,1,http://127.0.0.1:8080/,12,0,2
1538392037958,17,HTTP请求,200,OK,线程组 1-14,text,true,,179,118,1,1,http://127.0.0.1:8080/,17,0,2
1538392037985,42,HTTP请求,200,OK,线程组 1-15,text,true,,179,118,2,2,http://127.0.0.1:8080/,41,0,0
1538392038008,21,HTTP请求,200,OK,线程组 1-16,text,true,,179,118,1,1,http://127.0.0.1:8080/,20,0,3
1538392038031,6,HTTP请求,200,OK,线程组 1-17,text,true,,179,118,1,1,http://127.0.0.1:8080/,6,0,1
1538392038053,7,HTTP请求,200,OK,线程组 1-18,text,true,,179,118,1,1,http://127.0.0.1:8080/,7,0,1
1538392038073,8,HTTP请求,200,OK,线程组 1-19,text,true,,179,118,1,1,http://127.0.0.1:8080/,7,0,1
1538392038097,5,HTTP请求,200,OK,线程组 1-20,text,true,,179,118,1,1,http://127.0.0.1:8080/,5,0,0
1538392038116,6,HTTP请求,200,OK,线程组 1-21,text,true,,179,118,1,1,http://127.0.0.1:8080/,6,0,1
1538392038138,8,HTTP请求,200,OK,线程组 1-22,text,true,,179,118,1,1,http://127.0.0.1:8080/,8,0,1
1538392038152,7,HTTP请求,200,OK,线程组 1-23,text,true,,179,118,1,1,http://127.0.0.1:8080/,7,0,1
1538392038173,17,HTTP请求,200,OK,线程组 1-24,text,true,,179,118,1,1,http://127.0.0.1:8080/,17,0,1
1538392038196,6,HTTP请求,200,OK,线程组 1-25,text,true,,179,118,1,1,http://127.0.0.1:8080/,5,0,0
1538392038216,5,HTTP请求,200,OK,线程组 1-26,text,true,,179,118,1,1,http://127.0.0.1:8080/,5,0,1
1538392038236,7,HTTP请求,200,OK,线程组 1-27,text,true,,179,118,1,1,http://127.0.0.1:8080/,7,0,1
1538392038254,6,HTTP请求,200,OK,线程组 1-28,text,true,,179,118,1,1,http://127.0.0.1:8080/,6,0,0
1538392038269,5,HTTP请求,200,OK,线程组 1-29,text,true,,179,118,1,1,http://127.0.0.1:8080/,4,0,1
1538392038288,6,HTTP请求,200,OK,线程组 1-30,text,true,,179,118,1,1,http://127.0.0.1:8080/,5,0,0
1538392038304,5,HTTP请求,200,OK,线程组 1-31,text,true,,179,118,1,1,http://127.0.0.1:8080/,5,0,1
1538392038323,6,HTTP请求,200,OK,线程组 1-32,text,true,,179,118,1,1,http://127.0.0.1:8080/,6,0,1
1538392038341,5,HTTP请求,200,OK,线程组 1-33,text,true,,179,118,1,1,http://127.0.0.1:8080/,5,0,0
1538392038362,13,HTTP请求,200,OK,线程组 1-34,text,true,,179,118,1,1,http://127.0.0.1:8080/,13,0,1
1538392038386,5,HTTP请求,200,OK,线程组 1-35,text,true,,179,118,1,1,http://127.0.0.1:8080/,5,0,1
1538392038402,5,HTTP请求,200,OK,线程组 1-36,text,true,,179,118,1,1,http://127.0.0.1:8080/,5,0,0
1538392038422,9,HTTP请求,200,OK,线程组 1-37,text,true,,179,118,1,1,http://127.0.0.1:8080/,9,0,1
1538392038438,6,HTTP请求,200,OK,线程组 1-38,text,true,,179,118,1,1,http://127.0.0.1:8080/,6,0,1
1538392038457,6,HTTP请求,200,OK,线程组 1-39,text,true,,179,118,1,1,http://127.0.0.1:8080/,5,0,1
1538392038473,6,HTTP请求,200,OK,线程组 1-40,text,true,,179,118,1,1,http://127.0.0.1:8080/,6,0,1
1538392038491,5,HTTP请求,200,OK,线程组 1-41,text,true,,179,118,1,1,http://127.0.0.1:8080/,4,0,0
1538392038510,7,HTTP请求,200,OK,线程组 1-42,text,true,,179,118,1,1,http://127.0.0.1:8080/,7,0,1
1538392038526,5,HTTP请求,200,OK,线程组 1-43,text,true,,179,118,1,1,http://127.0.0.1:8080/,5,0,1
1538392038544,3,HTTP请求,200,OK,线程组 1-44,text,true,,179,118,1,1,http://127.0.0.1:8080/,3,0,0
1538392038561,8,HTTP请求,200,OK,线程组 1-45,text,true,,179,118,1,1,http://127.0.0.1:8080/,8,0,1
1538392038578,7,HTTP请求,200,OK,线程组 1-46,text,true,,179,118,1,1,http://127.0.0.1:8080/,7,0,1
1538392038603,10,HTTP请求,200,OK,线程组 1-47,text,true,,179,118,1,1,http://127.0.0.1:8080/,10,0,1
1538392038615,12,HTTP请求,200,OK,线程组 1-48,text,true,,179,118,1,1,http://127.0.0.1:8080/,12,0,1
1538392038634,8,HTTP请求,200,OK,线程组 1-49,text,true,,179,118,1,1,http://127.0.0.1:8080/,8,0,1
1538392038650,9,HTTP请求,200,OK,线程组 1-50,text,true,,179,118,1,1,http://127.0.0.1:8080/,9,0,1
1538392038668,7,HTTP请求,200,OK,线程组 1-51,text,true,,179,118,1,1,http://127.0.0.1:8080/,7,0,0
1538392038683,9,HTTP请求,200,OK,线程组 1-52,text,true,,179,118,1,1,http://127.0.0.1:8080/,9,0,1
1538392038701,8,HTTP请求,200,OK,线程组 1-53,text,true,,179,118,1,1,http://127.0.0.1:8080/,8,0,1
1538392038720,10,HTTP请求,200,OK,线程组 1-54,text,true,,179,118,1,1,http://127.0.0.1:8080/,10,0,1
1538392038735,5,HTTP请求,200,OK,线程组 1-55,text,true,,179,118,1,1,http://127.0.0.1:8080/,5,0,1
1538392038755,4,HTTP请求,200,OK,线程组 1-56,text,true,,179,118,1,1,http://127.0.0.1:8080/,4,0,0
1538392038770,6,HTTP请求,200,OK,线程组 1-57,text,true,,179,118,1,1,http://127.0.0.1:8080/,6,0,1
1538392038787,5,HTTP请求,200,OK,线程组 1-58,text,true,,179,118,1,1,http://127.0.0.1:8080/,5,0,0
1538392038805,7,HTTP请求,200,OK,线程组 1-59,text,true,,179,118,1,1,http://127.0.0.1:8080/,7,0,1
1538392038818,8,HTTP请求,200,OK,线程组 1-60,text,true,,179,118,1,1,http://127.0.0.1:8080/,8,0,1
